domain,aspect,clean_sentence,predicted_sentiment,confidence,method
norton,uninstallation,finally ran msconfig went services tab unchecked every last nortonsymantec service ran uninstall,neutral,0.419,bert-based
norton,symantec,finally ran msconfig went services tab unchecked every last nortonsymantec service ran uninstall,negative,0.635,bert-based
norton,products,loyal norton antivirus internet security software user long remember,positive,0.767,bert-based
Nokia 6600,phone,simple,neutral,0.464,bert-based
Nokia 6600,phone,simple,neutral,0.464,bert-based
Nokia 6600,phone,simple,neutral,0.464,bert-based
Nokia 6600,6600,got need nokia gsm cameraphone speakerphone,neutral,0.476,bert-based
Nokia 6600,connectivity,got need nokia gsm cameraphone speakerphone,neutral,0.442,bert-based
Nokia 6600,screen,got need nokia gsm cameraphone speakerphone,neutral,0.345,bert-based
Nokia 6600,camera quality,got need nokia gsm cameraphone speakerphone,positive,0.375,bert-based
Nokia 6600,pda,got need nokia gsm cameraphone speakerphone,neutral,0.393,bert-based
Nokia 6600,w,got need nokia gsm cameraphone speakerphone,negative,0.388,bert-based
Nokia 6600,battery,got need nokia gsm cameraphone speakerphone,negative,0.391,bert-based
Nokia 6600,phone,11 months ive held nokia 6600,neutral,0.451,bert-based
Nokia 6600,priced,11 months ive held nokia 6600,neutral,0.624,bert-based
Nokia 6600,phone,11 months ive held nokia 6600,neutral,0.451,bert-based
Nokia 6600,use,11 months ive held nokia 6600,neutral,0.45,bert-based
Nokia 6600,keypad,im techy like getting technical things id brief features liked phone,positive,0.532,bert-based
Nokia 6600,keypad,think keypad cell phone important thing im constantly sending messages calling people fiddling around phone,positive,0.866,bert-based
Nokia 6600,design,complain tad bulky looking,negative,0.978,bert-based
Nokia 6600,interface,complain tad bulky looking,negative,0.933,bert-based
Nokia 6600,mmc card,theres whole lot things phone besides reading book playing various java games variety software installed,neutral,0.475,bert-based
Nokia 6600,capacity,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.494,bert-based
Nokia 6600,design,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.467,bert-based
Nokia 6600,sturdy,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,neutral,0.509,bert-based
Nokia 6600,design,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.467,bert-based
Nokia 6600,phone,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.496,bert-based
Nokia 6600,phone,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.496,bert-based
Nokia 6600,camera,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.535,bert-based
Nokia 6600,connectivity,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.464,bert-based
Nokia 6600,screen,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.499,bert-based
Nokia 6600,colors,upgraded mine 128 mb mmc card via store unlimited number messages take thousand pictures videos,positive,0.482,bert-based
Nokia 6600,upgradibility,besides mentioned merits phone decent ear volume loudspeaker functionality,positive,0.888,bert-based
Nokia 6600,processor,wouldnt worth life,negative,0.743,bert-based
Nokia 6600,ear volume,wouldnt worth life,negative,0.832,bert-based
Nokia 6600,battery,wouldnt worth life,negative,0.659,bert-based
Nokia 6600,video recording,wouldnt worth life,negative,0.824,bert-based
Nokia 6600,upgrade,wouldnt worth life,negative,0.806,bert-based
Nokia 6600,phone,case putting aside common city dont think anymore satisfied,negative,0.664,bert-based
Nokia 6600,phone,gee anyways enjoy works,positive,0.728,bert-based
Nokia 6600,phone,buying id urge actually use one handle store,neutral,0.416,bert-based
Nokia 6600,screen,buying id urge actually use one handle store,positive,0.479,bert-based
Nokia 6600,dial,remember phone first foremost biggest complaints,negative,0.971,bert-based
Nokia 6600,keys,remember phone first foremost biggest complaints,negative,0.937,bert-based
Nokia 6600,screen,remember phone first foremost biggest complaints,negative,0.975,bert-based
Nokia 6600,screen,remember phone first foremost biggest complaints,negative,0.975,bert-based
Nokia 6600,phone,remember phone first foremost biggest complaints,negative,0.973,bert-based
Nokia 6600,feels,youll see mean magnifying glass,negative,0.975,bert-based
Nokia 6600,connectivity,youll see mean magnifying glass,negative,0.919,bert-based
Nokia 6600,phone,youll see mean magnifying glass,negative,0.944,bert-based
Nokia 6600,camera,im back nokia try 6600 model,neutral,0.571,bert-based
Nokia 6600,phone,bought phone last march almost year ago saudi arabia came,neutral,0.47,bert-based
Nokia 6600,camera,bought phone last march almost year ago saudi arabia came,positive,0.363,bert-based
Nokia 6600,pda,bought phone last march almost year ago saudi arabia came,neutral,0.373,bert-based
Nokia 6600,bulky,bought phone last march almost year ago saudi arabia came,neutral,0.389,bert-based
Nokia 6600,features,bought phone last march almost year ago saudi arabia came,positive,0.419,bert-based
Nokia 6600,connectivity,bought phone last march almost year ago saudi arabia came,neutral,0.434,bert-based
Nokia 6600,transfer,bought phone last march almost year ago saudi arabia came,neutral,0.428,bert-based
Nokia 6600,handsfree,bought bluetooth headset works like wonder,positive,0.92,bert-based
Nokia 6600,camera,bought bluetooth headset works like wonder,positive,0.673,bert-based
Nokia 6600,video recording,bought bluetooth headset works like wonder,positive,0.948,bert-based
Nokia 6600,performance,bought bluetooth headset works like wonder,positive,0.953,bert-based
Nokia 6600,connectivity,bought bluetooth headset works like wonder,positive,0.949,bert-based
Nokia 6600,looking,bought bluetooth headset works like wonder,positive,0.855,bert-based
Nokia 6600,design,bought bluetooth headset works like wonder,positive,0.87,bert-based
Nokia 6600,shape,bought bluetooth headset works like wonder,positive,0.854,bert-based
Nokia 6600,keypad,bought bluetooth headset works like wonder,positive,0.736,bert-based
Nokia 6600,joystick,bought bluetooth headset works like wonder,positive,0.616,bert-based
Nokia 6600,use,bought bluetooth headset works like wonder,positive,0.763,bert-based
Nokia 6600,small,bought bluetooth headset works like wonder,positive,0.851,bert-based
Nokia 6600,screen,bought bluetooth headset works like wonder,positive,0.906,bert-based
Nokia 6600,camera,bought bluetooth headset works like wonder,positive,0.673,bert-based
Nokia 6600,performance,bought bluetooth headset works like wonder,positive,0.953,bert-based
Nokia 6600,phone,bought bluetooth headset works like wonder,positive,0.81,bert-based
Nokia 6600,phone,really slow,negative,0.644,bert-based
Nokia 6600,phone,really slow,negative,0.644,bert-based
Nokia 6600,phone,really slow,negative,0.644,bert-based
Nokia 6600,color,really slow,negative,0.692,bert-based
Nokia 6600,nokia,really slow,negative,0.659,bert-based
Nokia 6600,6600,really slow,negative,0.73,bert-based
Nokia 6600,versatility,really slow,negative,0.686,bert-based
Nokia 6600,features,really slow,negative,0.759,bert-based
Nokia 6600,audio quality,best features use often,positive,0.774,bert-based
Nokia 6600,audio quality,best features use often,positive,0.774,bert-based
Nokia 6600,camera,2 camera phone,positive,0.528,bert-based
Nokia 6600,joystick,2 camera phone,positive,0.428,bert-based
Nokia 6600,joystick,2 camera phone,positive,0.428,bert-based
Nokia 6600,ring tone,2 camera phone,positive,0.418,bert-based
Nokia 6600,game,2 camera phone,neutral,0.431,bert-based
Nokia 6600,nokia,2 camera phone,positive,0.517,bert-based
Nokia 6600,connectivity,2 camera phone,positive,0.476,bert-based
Nokia 6600,wide,great putting photos memos computer transferring calander data phone,positive,0.94,bert-based
Nokia 6600,small,great putting photos memos computer transferring calander data phone,positive,0.954,bert-based
Nokia 6600,construction,great putting photos memos computer transferring calander data phone,positive,0.876,bert-based
Nokia 6600,construction,great putting photos memos computer transferring calander data phone,positive,0.876,bert-based
Nokia 6600,phone,great putting photos memos computer transferring calander data phone,positive,0.927,bert-based
Nokia 6600,interface,great putting photos memos computer transferring calander data phone,positive,0.945,bert-based
Nokia 6600,operation,example memory card battery,neutral,0.468,bert-based
Nokia 6600,instruction booklet,youve never used advanced mobile phone might assume par course simply isnt,negative,0.447,bert-based
Nokia 6600,applications,youve never used advanced mobile phone might assume par course simply isnt,neutral,0.455,bert-based
Nokia 6600,applications,youve never used advanced mobile phone might assume par course simply isnt,neutral,0.455,bert-based
Nokia 6600,dependability,im sure phone w features exists yet im sure id want spend much time w device anyhow,neutral,0.699,bert-based
Nokia 6600,phone,im sure phone w features exists yet im sure id want spend much time w device anyhow,neutral,0.577,bert-based
Nokia 6600,keys,im sure phone w features exists yet im sure id want spend much time w device anyhow,neutral,0.49,bert-based
Nokia 6600,stylized,look phone know,neutral,0.464,bert-based
Nokia 6600,big,less benzobvious audiunderstated,neutral,0.832,bert-based
Nokia 6600,screen,less benzobvious audiunderstated,neutral,0.788,bert-based
Nokia 6600,memory,less benzobvious audiunderstated,neutral,0.845,bert-based
Nokia 6600,memory,less benzobvious audiunderstated,neutral,0.845,bert-based
Nokia 6600,transmission,less benzobvious audiunderstated,neutral,0.816,bert-based
Nokia 6600,6600,reception really depends locale carrier,neutral,0.563,bert-based
Nokia 6600,mhz,reception really depends locale carrier,neutral,0.546,bert-based
Nokia 6600,coverage,reception really depends locale carrier,neutral,0.553,bert-based
Nokia 6600,6600,reception really depends locale carrier,neutral,0.563,bert-based
Nokia 6600,service,reception really depends locale carrier,neutral,0.609,bert-based
Nokia 6600,6600,reception really depends locale carrier,neutral,0.563,bert-based
Nokia 6600,battery,reception really depends locale carrier,neutral,0.58,bert-based
Nokia 6600,operating system,reception really depends locale carrier,neutral,0.579,bert-based
Nokia 6600,video,reception really depends locale carrier,neutral,0.599,bert-based
Nokia 6600,battery,reception really depends locale carrier,neutral,0.58,bert-based
Nokia 6600,game,games java,neutral,0.387,bert-based
Nokia 6600,downloads,humble opinion games along w flip phones belong hands teenagers,negative,0.586,bert-based
Nokia 6600,phone,expect able pick things youre rush via common sense many times youll end frustrated,negative,0.789,bert-based
Nokia 6600,phone,expect able pick things youre rush via common sense many times youll end frustrated,negative,0.789,bert-based
Nokia 6600,phone,highline audi cadillac suspension reasonable price,positive,0.51,bert-based
Nokia 6600,connectivity,bought phone went merry way,positive,0.87,bert-based
Nokia 6600,connectivity,advertising lie,negative,0.781,bert-based
Nokia 6600,phone,thats way learned spending hour talking tmobiles tier3 technicians south africa learn problem wasnt tmobile three hours getting nowhere nokia support technicians reading endlessly scripts never deviating started cursing got tier2 tech,negative,0.855,bert-based
Nokia 6600,nokia,suggested didnt make sense send phone repair thought nokia would charge 120 repair since could get done locally 30,negative,0.488,bert-based
Nokia 6600,nokia,supervisor stated must thirdparty applications 6600 caused 3650 break would take suggestion tier2 technicians stated possible back 6600 3650 without damaging 3650 regardless 6600,negative,0.518,bert-based
Nokia 6600,nokia,also hardreset palm nokia factory defaults lame attempts get script work though,negative,0.54,bert-based
Nokia 6600,photos,title pretty much says,neutral,0.4,bert-based
Nokia 6600,phone,title pretty much says,positive,0.419,bert-based
Nokia 6600,phone,title pretty much says,positive,0.419,bert-based
Nokia 6600,phone,title pretty much says,positive,0.419,bert-based
Nokia 6600,interface,title pretty much says,neutral,0.389,bert-based
Nokia 6600,interface,title pretty much says,neutral,0.389,bert-based
Nokia 6600,lag,contacts list recent call list everything else,neutral,0.442,bert-based
Nokia 6600,useable,contacts list recent call list everything else,neutral,0.477,bert-based
Nokia 6600,number buttons,contacts list recent call list everything else,neutral,0.458,bert-based
Nokia 6600,fonts,contacts list recent call list everything else,positive,0.382,bert-based
Nokia 6600,interface,contacts list recent call list everything else,neutral,0.468,bert-based
Nokia 6600,design,contacts list recent call list everything else,neutral,0.426,bert-based
Nokia 6600,battery,contacts list recent call list everything else,negative,0.393,bert-based
Nokia 6600,memory,contacts list recent call list everything else,neutral,0.457,bert-based
Nokia 6600,camera,contacts list recent call list everything else,negative,0.373,bert-based
Nokia 6600,video,contacts list recent call list everything else,neutral,0.435,bert-based
Nokia 6600,phone,contacts list recent call list everything else,neutral,0.462,bert-based
Nokia 6600,features,contacts list recent call list everything else,neutral,0.446,bert-based
Nokia 6600,camera,contacts list recent call list everything else,negative,0.373,bert-based
Nokia 6600,ringtones,contacts list recent call list everything else,neutral,0.412,bert-based
Nokia 6600,connectivity,contacts list recent call list everything else,neutral,0.5,bert-based
Nokia 6600,phone,purchased two phones together amazon market place,positive,0.424,bert-based
Nokia 6600,performance,purchased two phones together amazon market place,neutral,0.436,bert-based
Nokia 6600,time,purchased two phones together amazon market place,neutral,0.409,bert-based
Nokia 6600,big,sometimesthe phone gets stuck like computer doesnt store incoming call numbersetc,negative,0.694,bert-based
Nokia 6600,phone,one minute salesman sold,positive,0.664,bert-based
Nokia 6600,modem,one minute salesman sold,positive,0.637,bert-based
Nokia 6600,ringtones,one minute salesman sold,positive,0.518,bert-based
Nokia 6600,screen,one minute salesman sold,positive,0.665,bert-based
Nokia 6600,carrier,bad thing,negative,0.914,bert-based
Nokia 6600,phone,bad thing,negative,0.885,bert-based
Nokia 6600,phone card calling,1 phone card calling feature,positive,0.53,bert-based
Nokia 6600,phone card calling,dial phone card access number pin card choose send touch tone find contact address book,neutral,0.507,bert-based
Nokia 6600,feature,feature important make lot international calls,positive,0.687,bert-based
Nokia 6600,hear,2 low volume regular answering,neutral,0.537,bert-based
Nokia 6600,sound,use speaker handsfree get larger volume,neutral,0.457,bert-based
Nokia 6600,phone,purchased 6600 first released middle east almost month europe reading brochures features really sound like true allinone functionality monster,positive,0.772,bert-based
Nokia 6600,sound,purchased 6600 first released middle east almost month europe reading brochures features really sound like true allinone functionality monster,positive,0.564,bert-based
Nokia 6600,bulky,purchased 6600 first released middle east almost month europe reading brochures features really sound like true allinone functionality monster,positive,0.674,bert-based
