aspect,negative,neutral,positive,total_mentions,positive_ratio,neutral_ratio,negative_ratio
backward,0,1,0,1,0.0,1.0,0.0
backward compatible,0,1,0,1,0.0,1.0,0.0
bag,2,2,0,4,0.0,0.5,0.5
bags,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
balance,1,0,1,2,0.5,0.0,0.5
band,0,1,0,1,0.0,1.0,0.0
bandwidth hogging software,0,1,0,1,0.0,1.0,0.0
bangforthebuck,0,1,0,1,0.0,1.0,0.0
bargins,0,1,0,1,0.0,1.0,0.0
base,0,1,1,2,0.5,0.5,0.0
bass,5,3,16,24,0.6666666666666666,0.125,0.20833333333333334
bass controls,0,0,1,1,1.0,0.0,0.0
bass level,0,0,1,1,1.0,0.0,0.0
bass quality,0,0,1,1,1.0,0.0,0.0
bass tones,0,0,1,1,1.0,0.0,0.0
battery,55,27,59,141,0.41843971631205673,0.19148936170212766,0.3900709219858156
battery charger,1,0,0,1,0.0,0.0,1.0
battery charging,1,0,0,1,0.0,0.0,1.0
battery charging system,0,1,0,1,0.0,1.0,0.0
battery replacement,0,0,1,1,1.0,0.0,0.0
battery top,1,0,0,1,0.0,0.0,1.0
battery usage,0,1,1,2,0.5,0.5,0.0
batterylife,0,0,1,1,1.0,0.0,0.0
beeps,1,0,0,1,0.0,0.0,1.0
belt clip,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
beltclip design,0,0,1,1,1.0,0.0,0.0
bestbuilt,0,0,1,1,1.0,0.0,0.0
big,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
bigger,0,2,0,2,0.0,1.0,0.0
blocking,2,0,0,2,0.0,0.0,1.0
bluetooth modules,0,0,1,1,1.0,0.0,0.0
body,3,0,1,4,0.25,0.0,0.75
bog,2,0,0,2,0.0,0.0,1.0
bookmakr,1,0,0,1,0.0,0.0,1.0
bookmark,2,0,0,2,0.0,0.0,1.0
boot,0,1,0,1,0.0,1.0,0.0
booting,1,0,0,1,0.0,0.0,1.0
breaks,1,0,0,1,0.0,0.0,1.0
bright,0,0,2,2,1.0,0.0,0.0
brightness,1,1,3,5,0.6,0.2,0.2
broadband,0,1,0,1,0.0,1.0,0.0
broadcom hardware,0,1,0,1,0.0,1.0,0.0
browsing,0,0,1,1,1.0,0.0,0.0
buffalo technical support line,0,0,1,1,1.0,0.0,0.0
bufflo nfinity g300n,0,1,0,1,0.0,1.0,0.0
build quality,0,0,1,1,1.0,0.0,0.0
built,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
bulky,0,1,1,2,0.5,0.5,0.0
bundled software,0,0,1,1,1.0,0.0,0.0
button,5,5,6,16,0.375,0.3125,0.3125
button functioning,1,0,0,1,0.0,0.0,1.0
buttons,6,1,4,11,0.36363636363636365,0.09090909090909091,0.5454545454545454
cable,0,1,0,1,0.0,1.0,0.0
cable hook ups,0,0,1,1,1.0,0.0,0.0
calendar,0,1,0,1,0.0,1.0,0.0
call,1,0,0,1,0.0,0.0,1.0
call logs,1,0,0,1,0.0,0.0,1.0
calls,3,1,0,4,0.0,0.25,0.75
camera,49,47,100,196,0.5102040816326531,0.23979591836734693,0.25
camera quality,0,0,2,2,1.0,0.0,0.0
camera shake,0,0,1,1,1.0,0.0,0.0
cameras,1,0,1,2,0.5,0.0,0.5
canera,0,0,1,1,1.0,0.0,0.0
canon,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
canon g3,1,0,0,1,0.0,0.0,1.0
cap,0,0,1,1,1.0,0.0,0.0
capacity,5,3,2,10,0.2,0.3,0.5
car adapter,0,1,0,1,0.0,1.0,0.0
carpet tacks,0,0,1,1,1.0,0.0,0.0
carrier,1,0,0,1,0.0,0.0,1.0
case,16,7,1,24,0.041666666666666664,0.2916666666666667,0.6666666666666666
casing,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
cd,2,6,2,10,0.2,0.6,0.2
cd audio disc,0,0,1,1,1.0,0.0,0.0
cd burner,1,0,0,1,0.0,0.0,1.0
cd rip,0,4,0,4,0.0,1.0,0.0
champ,1,5,8,14,0.5714285714285714,0.35714285714285715,0.07142857142857142
change,2,0,2,4,0.5,0.0,0.5
charge,2,0,0,2,0.0,0.0,1.0
charged,0,1,0,1,0.0,1.0,0.0
charger,1,0,0,1,0.0,0.0,1.0
charging,1,1,0,2,0.0,0.5,0.5
chat support,1,0,0,1,0.0,0.0,1.0
cheap,1,2,3,6,0.5,0.3333333333333333,0.16666666666666666
cheaper,0,0,1,1,1.0,0.0,0.0
cheapest,0,0,1,1,1.0,0.0,0.0
cheep,0,1,0,1,0.0,1.0,0.0
chinese name,0,1,0,1,0.0,1.0,0.0
chuck,1,1,0,2,0.0,0.5,0.5
cisco valet,0,1,0,1,0.0,1.0,0.0
clarity,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
clean,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
click buttons,0,0,1,1,1.0,0.0,0.0
click wheel,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
clicker,0,0,1,1,1.0,0.0,0.0
clip,0,1,0,1,0.0,1.0,0.0
clips,0,0,1,1,1.0,0.0,0.0
closeup mode,0,1,0,1,0.0,1.0,0.0
closeup shooting,0,0,1,1,1.0,0.0,0.0
code,0,0,1,1,1.0,0.0,0.0
collet,1,3,2,6,0.3333333333333333,0.5,0.16666666666666666
collets,0,2,0,2,0.0,1.0,0.0
color,6,3,6,15,0.4,0.2,0.4
color and light,0,0,1,1,1.0,0.0,0.0
color balance,0,0,1,1,1.0,0.0,0.0
color display,1,0,0,1,0.0,0.0,1.0
color rendering,0,0,1,1,1.0,0.0,0.0
color screen,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
color signal,0,0,1,1,1.0,0.0,0.0
color tft display,0,1,0,1,0.0,1.0,0.0
colors,3,3,6,12,0.5,0.25,0.25
com book compatibility,1,0,0,1,0.0,0.0,1.0
come back online,1,0,0,1,0.0,0.0,1.0
comfort,0,2,0,2,0.0,1.0,0.0
command,0,0,1,1,1.0,0.0,0.0
compact,1,6,0,7,0.0,0.8571428571428571,0.14285714285714285
compactflash,0,0,1,1,1.0,0.0,0.0
company,0,0,1,1,1.0,0.0,0.0
compatibility,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
compatibility with windows media player,0,1,0,1,0.0,1.0,0.0
components,3,0,1,4,0.25,0.0,0.75
components and directions,0,0,1,1,1.0,0.0,0.0
computer,2,1,4,7,0.5714285714285714,0.14285714285714285,0.2857142857142857
computer associates ez,0,0,1,1,1.0,0.0,0.0
computer speaker,0,0,3,3,1.0,0.0,0.0
computer speakers,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
condition,1,1,0,2,0.0,0.5,0.5
configuration,1,2,1,4,0.25,0.5,0.25
configuration menu,0,0,1,1,1.0,0.0,0.0
configuration options,0,1,0,1,0.0,1.0,0.0
configure,1,0,0,1,0.0,0.0,1.0
connect,1,4,1,6,0.16666666666666666,0.6666666666666666,0.16666666666666666
connected,0,1,0,1,0.0,1.0,0.0
connection options,0,1,0,1,0.0,1.0,0.0
connection speed,0,0,1,1,1.0,0.0,0.0
connection speeds,0,0,1,1,1.0,0.0,0.0
connections,0,1,1,2,0.5,0.5,0.0
connectivity,16,12,9,37,0.24324324324324326,0.32432432432432434,0.43243243243243246
connectivity bars,1,0,0,1,0.0,0.0,1.0
construction,5,6,5,16,0.3125,0.375,0.3125
container,0,0,1,1,1.0,0.0,0.0
continuous shot mode,0,0,1,1,1.0,0.0,0.0
contrast,1,1,2,4,0.5,0.25,0.25
control,14,14,8,36,0.2222222222222222,0.3888888888888889,0.3888888888888889
control station,1,0,0,1,0.0,0.0,1.0
controller,0,0,1,1,1.0,0.0,0.0
controls,4,3,3,10,0.3,0.3,0.4
convenient,1,1,0,2,0.0,0.5,0.5
converter,0,0,1,1,1.0,0.0,0.0
copy large files,0,0,1,1,1.0,0.0,0.0
cord,0,0,1,1,1.0,0.0,0.0
corporate,1,0,0,1,0.0,0.0,1.0
corporate edition,1,0,0,1,0.0,0.0,1.0
corsair,1,0,0,1,0.0,0.0,1.0
cost effective,0,0,1,1,1.0,0.0,0.0
costlier,0,0,1,1,1.0,0.0,0.0
costly,0,0,1,1,1.0,0.0,0.0
costs,0,1,0,1,0.0,1.0,0.0
cover,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
coverage,2,3,0,5,0.0,0.6,0.4
covering,0,0,1,1,1.0,0.0,0.0
creative,1,3,0,4,0.0,0.75,0.25
creative product,1,0,0,1,0.0,0.0,1.0
creative zen,0,1,0,1,0.0,1.0,0.0
creative zen micro,0,1,0,1,0.0,1.0,0.0
crispness,0,0,1,1,1.0,0.0,0.0
crossship,0,1,0,1,0.0,1.0,0.0
csr,1,0,0,1,0.0,0.0,1.0
customer care,0,1,0,1,0.0,1.0,0.0
customer rep,1,0,0,1,0.0,0.0,1.0
customer service,18,6,4,28,0.14285714285714285,0.21428571428571427,0.6428571428571429
customer service agents,1,0,0,1,0.0,0.0,1.0
customer service reps,0,1,0,1,0.0,1.0,0.0
customer support,1,4,1,6,0.16666666666666666,0.6666666666666666,0.16666666666666666
customer support website,1,0,0,1,0.0,0.0,1.0
cuts,1,1,0,2,0.0,0.5,0.5
darn diopter adjustment dial,1,0,0,1,0.0,0.0,1.0
data rate,1,0,0,1,0.0,0.0,1.0
ddwrt firmware,0,0,1,1,1.0,0.0,0.0
ddwrt software,0,1,0,1,0.0,1.0,0.0
dead pixels,0,1,0,1,0.0,1.0,0.0
deal,1,2,1,4,0.25,0.5,0.25
default ringtone,0,1,0,1,0.0,1.0,0.0
definition sound,0,0,1,1,1.0,0.0,0.0
delay,2,2,1,5,0.2,0.4,0.4
delete,0,1,0,1,0.0,1.0,0.0
delivering,0,0,1,1,1.0,0.0,0.0
delivery,2,0,0,2,0.0,0.0,1.0
dependability,0,1,0,1,0.0,1.0,0.0
depth,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
depths,1,0,0,1,0.0,0.0,1.0
design,32,38,37,107,0.34579439252336447,0.35514018691588783,0.29906542056074764
designed,0,1,1,2,0.5,0.5,0.0
desktop card,0,1,0,1,0.0,1.0,0.0
desktops,0,1,0,1,0.0,1.0,0.0
device,4,4,2,10,0.2,0.4,0.4
devices,0,0,1,1,1.0,0.0,0.0
devise,0,1,0,1,0.0,1.0,0.0
dhcp,0,0,1,1,1.0,0.0,0.0
dial,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
dialogue,0,0,1,1,1.0,0.0,0.0
dialogues,0,1,0,1,0.0,1.0,0.0
diaper,3,0,2,5,0.4,0.0,0.6
diaper champ,6,7,15,28,0.5357142857142857,0.25,0.21428571428571427
diaper dekor,0,1,0,1,0.0,1.0,0.0
diaper genie,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
diaper pail,8,3,2,13,0.15384615384615385,0.23076923076923078,0.6153846153846154
diaper wipes,0,0,2,2,1.0,0.0,0.0
diapers,3,1,2,6,0.3333333333333333,0.16666666666666666,0.5
different file,1,0,0,1,0.0,0.0,1.0
digic ii chip,0,0,1,1,1.0,0.0,0.0
digital camera,0,0,1,1,1.0,0.0,0.0
digital zoom,0,1,1,2,0.5,0.5,0.0
direct elictrical connectivity,1,0,0,1,0.0,0.0,1.0
direction,0,0,1,1,1.0,0.0,0.0
disc,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
disconnect,0,1,0,1,0.0,1.0,0.0
disconnecting,0,1,0,1,0.0,1.0,0.0
disconnects,0,0,1,1,1.0,0.0,0.0
disign,0,1,0,1,0.0,1.0,0.0
disk,1,0,0,1,0.0,0.0,1.0
disney movie,0,0,1,1,1.0,0.0,0.0
displays,0,1,0,1,0.0,1.0,0.0
dispose,0,2,0,2,0.0,1.0,0.0
distort,1,0,0,1,0.0,0.0,1.0
distortion,0,1,1,2,0.5,0.5,0.0
divx rip,0,0,1,1,1.0,0.0,0.0
dj,0,0,1,1,1.0,0.0,0.0
dlink,0,1,1,2,0.5,0.5,0.0
dlink dir655,0,0,1,1,1.0,0.0,0.0
dlink dir655 extreme n wireless router,0,0,1,1,1.0,0.0,0.0
dlink support,1,0,0,1,0.0,0.0,1.0
dlink support crew,1,0,0,1,0.0,0.0,1.0
documentatio,0,0,1,1,1.0,0.0,0.0
documentation,2,2,1,5,0.2,0.4,0.4
door,2,2,0,4,0.0,0.5,0.5
download,2,3,0,5,0.0,0.6,0.4
download speed,1,0,0,1,0.0,0.0,1.0
downloads,1,0,0,1,0.0,0.0,1.0
drawings,0,0,1,1,1.0,0.0,0.0
drivers,1,0,0,1,0.0,0.0,1.0
dsl modem,1,0,0,1,0.0,0.0,1.0
dsub cord,0,1,0,1,0.0,1.0,0.0
duallayer dvd,1,0,0,1,0.0,0.0,1.0
durability,2,1,2,5,0.4,0.2,0.4
durable,0,1,1,2,0.5,0.5,0.0
duration,1,0,0,1,0.0,0.0,1.0
dvd,6,7,13,26,0.5,0.2692307692307692,0.23076923076923078
dvd disc,0,0,1,1,1.0,0.0,0.0
dvd media,0,1,0,1,0.0,1.0,0.0
dvd player,3,6,3,12,0.25,0.5,0.25
dvdr,0,0,4,4,1.0,0.0,0.0
dvi connection,1,0,0,1,0.0,0.0,1.0
dynamic range,1,0,0,1,0.0,0.0,1.0
e100s,0,1,0,1,0.0,1.0,0.0
e90s,0,1,0,1,0.0,1.0,0.0
ear,1,0,0,1,0.0,0.0,1.0
ear buds,0,0,1,1,1.0,0.0,0.0
ear phone jack,0,0,1,1,1.0,0.0,0.0
ear volume,1,0,0,1,0.0,0.0,1.0
earbud,5,2,2,9,0.2222222222222222,0.2222222222222222,0.5555555555555556
earbuds,1,1,4,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
earphone,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
earphones,0,0,1,1,1.0,0.0,0.0
earpiece,3,0,0,3,0.0,0.0,1.0
ease of usage,1,0,0,1,0.0,0.0,1.0
ease of use,1,1,8,10,0.8,0.1,0.1
ease ofuse,0,0,1,1,1.0,0.0,0.0
eax,5,2,3,10,0.3,0.2,0.5
eax mode,1,0,0,1,0.0,0.0,1.0
edges,0,0,1,1,1.0,0.0,0.0
editing titles,1,0,0,1,0.0,0.0,1.0
effective,0,0,1,1,1.0,0.0,0.0
elph s100,0,0,1,1,1.0,0.0,0.0
email,0,0,1,1,1.0,0.0,0.0
email spam,0,0,1,1,1.0,0.0,0.0
empty,2,0,0,2,0.0,0.0,1.0
emptying,1,0,0,1,0.0,0.0,1.0
enterprise piece,0,0,1,1,1.0,0.0,0.0
enviromental audio,0,0,1,1,1.0,0.0,0.0
equalizer,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
equilizer,1,0,0,1,0.0,0.0,1.0
equipment,1,2,1,4,0.25,0.5,0.25
ergonomics,0,0,1,1,1.0,0.0,0.0
ethernet transceiver,0,1,0,1,0.0,1.0,0.0
exchange period,0,1,0,1,0.0,1.0,0.0
expandability,1,0,0,1,0.0,0.0,1.0
expensive,3,1,0,4,0.0,0.25,0.75
explain,0,1,0,1,0.0,1.0,0.0
explorer,0,1,0,1,0.0,1.0,0.0
exposure,0,1,1,2,0.5,0.5,0.0
exposure control,0,0,1,1,1.0,0.0,0.0
external display,1,0,0,1,0.0,0.0,1.0
external flash hot shoe,1,0,0,1,0.0,0.0,1.0
external switch,1,0,0,1,0.0,0.0,1.0
extra accessories,0,0,1,1,1.0,0.0,0.0
extra features,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
face plate,1,0,0,1,0.0,0.0,1.0
faster,1,0,1,2,0.5,0.0,0.5
feature,9,15,17,41,0.4146341463414634,0.36585365853658536,0.21951219512195122
features,9,10,19,38,0.5,0.2631578947368421,0.23684210526315788
feel,4,2,4,10,0.4,0.2,0.4
feels,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
fence,1,0,1,2,0.5,0.0,0.5
file limit,1,0,0,1,0.0,0.0,1.0
file transfer,1,1,3,5,0.6,0.2,0.2
file transfer speed,0,0,1,1,1.0,0.0,0.0
fill,0,0,1,1,1.0,0.0,0.0
filp,1,0,0,1,0.0,0.0,1.0
finding,0,1,1,2,0.5,0.5,0.0
finish,2,1,1,4,0.25,0.25,0.5
firewall,3,1,1,5,0.2,0.2,0.6
firewire,2,1,1,4,0.25,0.25,0.5
firmware,3,5,3,11,0.2727272727272727,0.45454545454545453,0.2727272727272727
firmware update,1,2,2,5,0.4,0.4,0.2
firmware upgrade,0,0,2,2,1.0,0.0,0.0
fit,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
fit into the socket,0,0,1,1,1.0,0.0,0.0
fits,4,2,0,6,0.0,0.3333333333333333,0.6666666666666666
flash,3,2,5,10,0.5,0.2,0.3
flash photo,0,1,0,1,0.0,1.0,0.0
flip side,1,0,0,1,0.0,0.0,1.0
flip switch,0,1,0,1,0.0,1.0,0.0
fly wheel,1,0,0,1,0.0,0.0,1.0
flywheel,0,0,1,1,1.0,0.0,0.0
fm,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
fm radio,0,0,1,1,1.0,0.0,0.0
fm receiver,0,1,1,2,0.5,0.5,0.0
fm reception,2,3,3,8,0.375,0.375,0.25
fm tuner,1,1,2,4,0.5,0.25,0.25
focus,2,0,4,6,0.6666666666666666,0.0,0.3333333333333333
focuses,1,0,0,1,0.0,0.0,1.0
folder,2,0,2,4,0.5,0.0,0.5
folder structure,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
fonts,0,0,2,2,1.0,0.0,0.0
form,0,1,0,1,0.0,1.0,0.0
format,2,5,5,12,0.4166666666666667,0.4166666666666667,0.16666666666666666
formats,0,0,1,1,1.0,0.0,0.0
forward,0,0,2,2,1.0,0.0,0.0
four megapixel,0,0,1,1,1.0,0.0,0.0
fragments,1,0,0,1,0.0,0.0,1.0
freespeak,1,0,0,1,0.0,0.0,1.0
freeze,0,2,0,2,0.0,1.0,0.0
freezes,1,0,0,1,0.0,0.0,1.0
freezing,0,0,1,1,1.0,0.0,0.0
front channels,0,0,1,1,1.0,0.0,0.0
front cover,1,0,0,1,0.0,0.0,1.0
fun,0,1,0,1,0.0,1.0,0.0
function,1,2,1,4,0.25,0.5,0.25
functionality,1,2,2,5,0.4,0.4,0.2
functioning,0,1,3,4,0.75,0.25,0.0
functions,1,0,0,1,0.0,0.0,1.0
g3,0,5,1,6,0.16666666666666666,0.8333333333333334,0.0
game,0,3,4,7,0.5714285714285714,0.42857142857142855,0.0
games,5,2,2,9,0.2222222222222222,0.2222222222222222,0.5555555555555556
garbage bags,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
gift,1,0,0,1,0.0,0.0,1.0
go online,0,1,0,1,0.0,1.0,0.0
gprs,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
gpu hardware acceleration,1,0,0,1,0.0,0.0,1.0
grain,0,0,1,1,1.0,0.0,0.0
grip,1,0,0,1,0.0,0.0,1.0
gsm,0,0,1,1,1.0,0.0,0.0
guest feature,0,1,0,1,0.0,1.0,0.0
guest network,1,0,0,1,0.0,0.0,1.0
gui,1,0,0,1,0.0,0.0,1.0
guide,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
hand set,1,0,0,1,0.0,0.0,1.0
handsfree,0,0,1,1,1.0,0.0,0.0
hang,0,0,1,1,1.0,0.0,0.0
hard drive,3,0,4,7,0.5714285714285714,0.0,0.42857142857142855
hardcase,0,0,1,1,1.0,0.0,0.0
hardware version,0,0,1,1,1.0,0.0,0.0
hdmi output,0,0,1,1,1.0,0.0,0.0
headphone,4,2,2,8,0.25,0.25,0.5
headphone jack,6,4,3,13,0.23076923076923078,0.3076923076923077,0.46153846153846156
headphones,2,6,5,13,0.38461538461538464,0.46153846153846156,0.15384615384615385
headset,0,1,0,1,0.0,1.0,0.0
headset jack,0,0,1,1,1.0,0.0,0.0
hear,0,1,0,1,0.0,1.0,0.0
heat,1,0,1,2,0.5,0.0,0.5
heat dissipation,0,0,1,1,1.0,0.0,0.0
heat up,0,0,1,1,1.0,0.0,0.0
heated,0,0,1,1,1.0,0.0,0.0
heavier,0,1,0,1,0.0,1.0,0.0
heavy,2,3,5,10,0.5,0.3,0.2
heft,0,0,1,1,1.0,0.0,0.0
height,0,0,1,1,1.0,0.0,0.0
height adjustability,0,0,1,1,1.0,0.0,0.0
help,2,0,0,2,0.0,0.0,1.0
helpline,1,0,0,1,0.0,0.0,1.0
high speed internet,0,1,0,1,0.0,1.0,0.0
highlight,1,0,0,1,0.0,0.0,1.0
highs,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
hitachi,1,1,0,2,0.0,0.5,0.5
hitachi m12v,1,0,0,1,0.0,0.0,1.0
hold,0,1,0,1,0.0,1.0,0.0
holds,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
hole,0,0,1,1,1.0,0.0,0.0
home network,1,0,0,1,0.0,0.0,1.0
home theater,1,0,0,1,0.0,0.0,1.0
home version,2,0,0,2,0.0,0.0,1.0
hook up,0,1,0,1,0.0,1.0,0.0
horn tweeters,1,0,0,1,0.0,0.0,1.0
horns,1,0,0,1,0.0,0.0,1.0
hot,0,2,0,2,0.0,1.0,0.0
hot shoe flash,0,0,1,1,1.0,0.0,0.0
housing,0,2,0,2,0.0,1.0,0.0
ht upgrade,0,0,1,1,1.0,0.0,0.0
id3,0,1,0,1,0.0,1.0,0.0
id3 tag,3,3,1,7,0.14285714285714285,0.42857142857142855,0.42857142857142855
image download,0,1,0,1,0.0,1.0,0.0
image quality,0,0,3,3,1.0,0.0,0.0
images,1,1,2,4,0.5,0.25,0.25
import,0,1,0,1,0.0,1.0,0.0
incompatibility,0,1,1,2,0.5,0.5,0.0
increased memory option,1,0,0,1,0.0,0.0,1.0
indoor image,1,0,0,1,0.0,0.0,1.0
indoor picture,0,0,1,1,1.0,0.0,0.0
indoor shot,0,0,3,3,1.0,0.0,0.0
inexpensive,1,0,1,2,0.5,0.0,0.5
infrared,0,0,2,2,1.0,0.0,0.0
input,0,0,1,1,1.0,0.0,0.0
install,6,6,8,20,0.4,0.3,0.3
installation,8,11,5,24,0.20833333333333334,0.4583333333333333,0.3333333333333333
installation software,0,1,0,1,0.0,1.0,0.0
installed,0,0,1,1,1.0,0.0,0.0
installing,0,2,0,2,0.0,1.0,0.0
installs,1,0,0,1,0.0,0.0,1.0
instant messaging,0,1,0,1,0.0,1.0,0.0
instant setup,0,1,0,1,0.0,1.0,0.0
instruction,4,1,2,7,0.2857142857142857,0.14285714285714285,0.5714285714285714
instruction booklet,1,0,0,1,0.0,0.0,1.0
instructions,3,7,3,13,0.23076923076923078,0.5384615384615384,0.23076923076923078
instructions manual,1,0,0,1,0.0,0.0,1.0
insurance,0,0,1,1,1.0,0.0,0.0
interface,13,14,10,37,0.2702702702702703,0.3783783783783784,0.35135135135135137
internet,2,1,1,4,0.25,0.25,0.5
internet connection,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
internet connectivity,0,0,1,1,1.0,0.0,0.0
internet security,1,1,2,4,0.5,0.25,0.25
internet signal,0,1,0,1,0.0,1.0,0.0
internet user manual,0,0,1,1,1.0,0.0,0.0
intrusion,2,0,0,2,0.0,0.0,1.0
investment,0,0,1,1,1.0,0.0,0.0
ipod,7,2,8,17,0.47058823529411764,0.11764705882352941,0.4117647058823529
isync,1,0,0,1,0.0,0.0,1.0
