domain,aspect,clean_sentence,opinion_word,sentiment,method
MicroMP3,player,much research decided zen micro best mp3 player,best,positive,rule-based
MicroMP3,battery,wanted go grain idea shell another 100 bucks year order apple replace nonremovable battery turned,nonremovable,neutral,rule-based
MicroMP3,converter,comes builtin program simply entitled creative mediasource audio converter,creative,positive,rule-based
Canon PowerShot SD500,camera,unlike many compact ps cameras camera af assist lamp essential focusing dark areas,many,neutral,rule-based
Canon PowerShot SD500,camera,unlike many compact ps cameras camera af assist lamp essential focusing dark areas,many,neutral,rule-based
Canon PowerShot SD500,camera,unlike many compact ps cameras camera af assist lamp essential focusing dark areas,many,neutral,rule-based
Computer,price,came across acer read reviews andi little skeptical price right,little,neutral,rule-based
Computer,screen,limited space enough room wide screen monitor,wide,neutral,rule-based
Computer,screen,limited space enough room wide screen monitor,wide,neutral,rule-based
Computer,screen,change 120 hz advanced screen resolution settings windows 7,advanced,positive,rule-based
Computer,screen,change 120 hz advanced screen resolution settings windows 7,advanced,positive,rule-based
Speaker,sound,reviews sound quality true,true,neutral,rule-based
Speaker,speakers,although bass im getting speakers unexpected,unexpected,negative,rule-based
Speaker,speakers,logitech introduced new line lapdesks builtin external speakers portable computers excited,builtin,neutral,rule-based
Speaker,sound,rrb ps btw robbery never occurred got home safe sound,safe,positive,rule-based
Speaker,sound,make equalizer adjustments every different song make sound right,right,positive,rule-based
Speaker,sound,make equalizer adjustments every different song make sound right,right,positive,rule-based
Speaker,sound,make equalizer adjustments every different song make sound right,right,positive,rule-based
Speaker,sound,chose system particular thx certified knew unlikely sound disappointingly bad,unlikely,negative,rule-based
Speaker,devise,rarely review type electronic devise sort uncharted territory,electronic,neutral,rule-based
Speaker,device,doubtful device would able anything helpful laptop virtually turned laptop stereo system,doubtful,negative,rule-based
Router,router,previous wireless router years worked fine,wireless,neutral,rule-based
Router,router,first router fast enough handle video streaming needs,enough,positive,rule-based
Router,router,first router fast enough handle video streaming needs,enough,positive,rule-based
Nokia 6610,phone,think good mobile phone may buy,good,positive,rule-based
Nokia 6610,phone,requires significant force operate scary small phone,scary,negative,rule-based
Nokia 6610,phone,get phone cingular att go carriers,cingular,neutral,rule-based
Canon G3,camera,nt good camera features access quickly need,good,positive,rule-based
Canon G3,camera,know whole lot photography happy know camera always perform even grow skill knowledge,happy,positive,rule-based
Canon G3,camera,looking outstanding camera take simple complex,outstanding,positive,rule-based
Canon G3,camera,looking outstanding camera take simple complex,outstanding,positive,rule-based
Canon G3,camera,first digital camera,digital,neutral,rule-based
Creative Labs Nomad Jukebox Zen Xtra 40GB,player,want sexy cool accessoryavailible mp3 player means get ipod hundred dollars one price holds 13 music,sexy,positive,rule-based
Creative Labs Nomad Jukebox Zen Xtra 40GB,warranty,store definitely get extended warranty another day purchase date obtain one,extended,neutral,rule-based
Creative Labs Nomad Jukebox Zen Xtra 40GB,interface,reason ipod better user interface,ipod,neutral,rule-based
Creative Labs Nomad Jukebox Zen Xtra 40GB,player,bought rca mp3cd player happy cheap worthwhile mp3 player coomes,cheap,negative,rule-based
Apex AD2600 Progressive-scan DVD player,player,money get better quality player,better,positive,rule-based
Apex AD2600 Progressive-scan DVD player,player,money get better quality player,better,positive,rule-based
Apex AD2600 Progressive-scan DVD player,player,ok first dvd player know,first,neutral,rule-based
Apex AD2600 Progressive-scan DVD player,player,bought replace expensive 300 onkyo dvd player quit 3 years,expensive,negative,rule-based
Nikon coolpix 4300,camera,cant get great pics camera havent read manual,great,positive,rule-based
Nikon coolpix 4300,camera,cant get great pics camera havent read manual,great,positive,rule-based
