domain,sentence,feature,sentiment,strength,clean_sentence,clean_feature,aspect,pos_tags,noun_phrases
norton,Here's why:,Semantic,positive,1,heres,semantic,semantic,heres_NOUN,['heres']
norton,I've been using Norton Anti-Virus in its many incarnations for over 5 years.,NIS2004,negative,2,ive using norton antivirus many incarnations 5 years,nis2004,nis2004,i_PRON ve_AUX using_VERB norton_PROPN antivirus_VERB many_ADJ incarnations_NOUN 5_NUM years_NOUN,"['i', 'norton', 'many incarnations']"
norton,I also reviewed Norton System Works 2004/Professional.,installation,negative,2,also reviewed norton system works 2004professional,installation,installation,also_ADV reviewed_VERB norton_PROPN system_NOUN works_VERB 2004professional_ADJ,['norton system']
norton,I also reviewed Norton System Works 2004/Professional.,product,negative,1,also reviewed norton system works 2004professional,product,product,also_ADV reviewed_VERB norton_PROPN system_NOUN works_VERB 2004professional_ADJ,['norton system']
norton,"Something happened with this release for Norton System Works (2004) and for ""Internet Security 2004"".",SystemWorks,positive,3,something happened release norton system works 2004 internet security 2004,systemworks,systemworks,something_PRON happened_VERB release_VERB norton_PROPN system_NOUN works_VERB 2004_NUM internet_NOUN security_NOUN 2004_NUM,"['something', 'norton system', '2004 internet security']"
norton,"Something happened with this release for Norton System Works (2004) and for ""Internet Security 2004"".",Internet Security,positive,3,something happened release norton system works 2004 internet security 2004,internet security,internet security,something_PRON happened_VERB release_VERB norton_PROPN system_NOUN works_VERB 2004_NUM internet_NOUN security_NOUN 2004_NUM,"['something', 'norton system', '2004 internet security']"
norton,"Well, no more.",Internet Security 2004,negative,3,well,internet security 2004,internet security 2004,well_ADV,[]
norton,"Well, no more.",install,negative,3,well,install,install,well_ADV,[]
norton,"Well, no more.",function,negative,2,well,function,function,well_ADV,[]
norton,"Well, no more.",installation,negative,3,well,installation,installation,well_ADV,[]
norton,"Well, no more.",installed,negative,2,well,installed,installed,well_ADV,[]
norton,"Well, no more.",LiveUpdate,negative,1,well,liveupdate,liveupdate,well_ADV,[]
norton,"Well, no more.",System Works,negative,1,well,system works,system works,well_ADV,[]
norton,"Well, no more.",Internet Security,negative,1,well,internet security,internet security,well_ADV,[]
norton,"Well, no more.",product,negative,3,well,product,product,well_ADV,[]
norton,Why they brought this to market is beyond me.,installation,negative,3,brought market beyond,installation,installation,brought_VERB market_NOUN beyond_ADP,['market']
norton,Why they brought this to market is beyond me.,install,negative,3,brought market beyond,install,install,brought_VERB market_NOUN beyond_ADP,['market']
norton,"To say that it is ""buggy"" would be the world's most profound understatement.",LiveUpdate,negative,2,say buggy would worlds profound understatement,liveupdate,liveupdate,say_VERB buggy_NOUN would_AUX worlds_VERB profound_ADJ understatement_NOUN,"['buggy', 'profound understatement']"
norton,"To say that it is ""buggy"" would be the world's most profound understatement.",updates,negative,2,say buggy would worlds profound understatement,updates,updates,say_VERB buggy_NOUN would_AUX worlds_VERB profound_ADJ understatement_NOUN,"['buggy', 'profound understatement']"
norton,"To say that it is ""buggy"" would be the world's most profound understatement.",LiveUpdate,negative,2,say buggy would worlds profound understatement,liveupdate,liveupdate,say_VERB buggy_NOUN would_AUX worlds_VERB profound_ADJ understatement_NOUN,"['buggy', 'profound understatement']"
norton,"To say that it is ""buggy"" would be the world's most profound understatement.",components,negative,2,say buggy would worlds profound understatement,components,components,say_VERB buggy_NOUN would_AUX worlds_VERB profound_ADJ understatement_NOUN,"['buggy', 'profound understatement']"
norton,"Without updated virus definiations, your PC is also at serious risk!",functions,positive,1,without updated virus definiations pc also serious risk,functions,functions,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",faster,positive,1,without updated virus definiations pc also serious risk,faster,faster,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",menu,positive,2,without updated virus definiations pc also serious risk,menu,menu,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",LiveUpdate,negative,2,without updated virus definiations pc also serious risk,liveupdate,liveupdate,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",installs,negative,2,without updated virus definiations pc also serious risk,installs,installs,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",removal program,negative,2,without updated virus definiations pc also serious risk,removal program,removal program,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",fragments,negative,2,without updated virus definiations pc also serious risk,fragments,fragments,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",remove,positive,1,without updated virus definiations pc also serious risk,remove,remove,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",install,negative,3,without updated virus definiations pc also serious risk,install,install,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Without updated virus definiations, your PC is also at serious risk!",remove,negative,2,without updated virus definiations pc also serious risk,remove,remove,without_ADP updated_VERB virus_NOUN definiations_NOUN pc_VERB also_ADV serious_ADJ risk_NOUN,['without updated virus definiations pc also serious risk']
norton,"Even this, however, did not solve my problems.",products,negative,3,even however solve problems,products,products,even_ADV however_ADV solve_VERB problems_NOUN,['problems']
norton,"Even this, however, did not solve my problems.",functionality,negative,3,even however solve problems,functionality,functionality,even_ADV however_ADV solve_VERB problems_NOUN,['problems']
norton,"Even this, however, did not solve my problems.",reinstall,negative,3,even however solve problems,reinstall,reinstall,even_ADV however_ADV solve_VERB problems_NOUN,['problems']
norton,"Even this, however, did not solve my problems.",version 2004,negative,3,even however solve problems,version 2004,version 2004,even_ADV however_ADV solve_VERB problems_NOUN,['problems']
norton,"Even this, however, did not solve my problems.",Symantect products,negative,3,even however solve problems,symantect products,symantect products,even_ADV however_ADV solve_VERB problems_NOUN,['problems']
norton,No longer.,product,negative,3,longer,product,product,longer_ADV,[]
norton,Antagonising,2004 edition,negative,1,antagonising,2004 edition,2004 edition,antagonising_VERB,[]
norton,Antagonising,program,negative,2,antagonising,program,program,antagonising_VERB,[]
norton,Antagonising,cost,negative,1,antagonising,cost,price,antagonising_VERB,[]
norton,Antagonising,support,negative,2,antagonising,support,support,antagonising_VERB,[]
norton,Antagonising,priority ID,negative,1,antagonising,priority id,priority id,antagonising_VERB,[]
norton,Antagonising,support,negative,1,antagonising,support,support,antagonising_VERB,[]
norton,Antagonising,Norton,negative,3,antagonising,norton,norton,antagonising_VERB,[]
norton,If you want integrated Antivirus and Firewall this is what I'd suggest.,memory usage,positive,2,want integrated antivirus firewall id suggest,memory usage,memory usage,want_VERB integrated_VERB antivirus_PROPN firewall_PROPN i_PROPN d_PROPN suggest_VERB,['integrated antivirus firewall id']
norton,It usually only takes 5-10 MB's of system memory.,memory usage,positive,2,usually takes 510 mbs system memory,memory usage,memory usage,usually_ADV takes_VERB 510_NUM mbs_ADJ system_NOUN memory_NOUN,['510 mbs system memory']
norton,It usually only takes 5-10 MB's of system memory.,update,positive,1,usually takes 510 mbs system memory,update,update,usually_ADV takes_VERB 510_NUM mbs_ADJ system_NOUN memory_NOUN,['510 mbs system memory']
norton,It usually only takes 5-10 MB's of system memory.,update,positive,2,usually takes 510 mbs system memory,update,update,usually_ADV takes_VERB 510_NUM mbs_ADJ system_NOUN memory_NOUN,['510 mbs system memory']
norton,It usually only takes 5-10 MB's of system memory.,visual backtracking,positive,3,usually takes 510 mbs system memory,visual backtracking,visual backtracking,usually_ADV takes_VERB 510_NUM mbs_ADJ system_NOUN memory_NOUN,['510 mbs system memory']
norton,But it caused more headaches than I could imagine.,product,negative,3,caused headaches could imagine,product,product,caused_VERB headaches_NOUN could_AUX imagine_VERB,['headaches']
norton,But it caused more headaches than I could imagine.,2004,negative,3,caused headaches could imagine,2004,2004,caused_VERB headaches_NOUN could_AUX imagine_VERB,['headaches']
norton,"Apparently, they can't even fix the bugs that have overrun their own site.",support,negative,3,apparently cant even fix bugs overrun site,support,support,apparently_ADV ca_AUX nt_PART even_ADV fix_VERB bugs_NOUN overrun_NOUN site_NOUN,['bugs overrun site']
norton,"Apparently, they can't even fix the bugs that have overrun their own site.",Norton internet security,negative,2,apparently cant even fix bugs overrun site,norton internet security,norton internet security,apparently_ADV ca_AUX nt_PART even_ADV fix_VERB bugs_NOUN overrun_NOUN site_NOUN,['bugs overrun site']
norton,"Okay, how can I say this nicely?",product,negative,3,okay say nicely,product,product,okay_INTJ say_VERB nicely_ADV,[]
norton,"Okay, how can I say this nicely?",slow,negative,3,okay say nicely,slow,performance,okay_INTJ say_VERB nicely_ADV,[]
norton,"Okay, how can I say this nicely?",product,negative,3,okay say nicely,product,product,okay_INTJ say_VERB nicely_ADV,[]
norton,Norton has a name in the market but I think it's only the name.,Internet Security,negative,2,norton name market think name,internet security,internet security,norton_PROPN name_NOUN market_NOUN think_VERB name_NOUN,['norton name market']
norton,Norton has a name in the market but I think it's only the name.,antivirus,negative,2,norton name market think name,antivirus,antivirus,norton_PROPN name_NOUN market_NOUN think_VERB name_NOUN,['norton name market']
norton,The former hogs memory and it takes ages for the computer to start.,internet security,negative,2,former hogs memory takes ages computer start,internet security,internet security,former_ADJ hogs_NOUN memory_NOUN takes_VERB ages_NOUN computer_NOUN start_VERB,"['former hogs memory', 'ages', 'computer']"
norton,The former hogs memory and it takes ages for the computer to start.,antivirus software,negative,2,former hogs memory takes ages computer start,antivirus software,antivirus software,former_ADJ hogs_NOUN memory_NOUN takes_VERB ages_NOUN computer_NOUN start_VERB,"['former hogs memory', 'ages', 'computer']"
norton,The former hogs memory and it takes ages for the computer to start.,parental controls,negative,2,former hogs memory takes ages computer start,parental controls,parental controls,former_ADJ hogs_NOUN memory_NOUN takes_VERB ages_NOUN computer_NOUN start_VERB,"['former hogs memory', 'ages', 'computer']"
norton,I have had Norton Internet Security for 3 yrs and up graded to 2004 versionin August 2004.,firewall,negative,3,norton internet security 3 yrs graded 2004 versionin august 2004,firewall,firewall,norton_PROPN internet_NOUN security_NOUN 3_NUM yrs_NOUN graded_VERB 2004_NUM versionin_NOUN august_PROPN 2004_NUM,"['norton internet security', '3 yrs', '2004 versionin']"
norton,I have had Norton Internet Security for 3 yrs and up graded to 2004 versionin August 2004.,capacity,negative,3,norton internet security 3 yrs graded 2004 versionin august 2004,capacity,capacity,norton_PROPN internet_NOUN security_NOUN 3_NUM yrs_NOUN graded_VERB 2004_NUM versionin_NOUN august_PROPN 2004_NUM,"['norton internet security', '3 yrs', '2004 versionin']"
norton,I have had Norton Internet Security for 3 yrs and up graded to 2004 versionin August 2004.,Support,negative,3,norton internet security 3 yrs graded 2004 versionin august 2004,support,support,norton_PROPN internet_NOUN security_NOUN 3_NUM yrs_NOUN graded_VERB 2004_NUM versionin_NOUN august_PROPN 2004_NUM,"['norton internet security', '3 yrs', '2004 versionin']"
norton,I am going to buy PC-cillium ASAP.,product,negative,2,going buy pccillium asap,product,product,going_VERB buy_NOUN pccillium_NOUN asap_NOUN,['buy pccillium asap']
norton,I am going to buy PC-cillium ASAP.,upgrade,negative,2,going buy pccillium asap,upgrade,upgrade,going_VERB buy_NOUN pccillium_NOUN asap_NOUN,['buy pccillium asap']
norton,I am going to buy PC-cillium ASAP.,2004 version,negative,2,going buy pccillium asap,2004 version,2004 version,going_VERB buy_NOUN pccillium_NOUN asap_NOUN,['buy pccillium asap']
norton,I am going to buy PC-cillium ASAP.,activation process,negative,1,going buy pccillium asap,activation process,activation process,going_VERB buy_NOUN pccillium_NOUN asap_NOUN,['buy pccillium asap']
norton,I am going to buy PC-cillium ASAP.,product,negative,2,going buy pccillium asap,product,product,going_VERB buy_NOUN pccillium_NOUN asap_NOUN,['buy pccillium asap']
norton,I am going to buy PC-cillium ASAP.,product,negative,2,going buy pccillium asap,product,product,going_VERB buy_NOUN pccillium_NOUN asap_NOUN,['buy pccillium asap']
norton,"This came PRELOADED on our new, 2.8Mz Pentium 4 256RAM computer.",Norton program,negative,3,came preloaded new 28mz pentium 4 256ram computer,norton program,norton program,came_AUX preloaded_VERB new_ADJ 28mz_ADJ pentium_NOUN 4_NUM 256ram_NUM computer_NOUN,['new 28mz pentium 4 256ram computer']
norton,"This came PRELOADED on our new, 2.8Mz Pentium 4 256RAM computer.",Norton,negative,3,came preloaded new 28mz pentium 4 256ram computer,norton,norton,came_AUX preloaded_VERB new_ADJ 28mz_ADJ pentium_NOUN 4_NUM 256ram_NUM computer_NOUN,['new 28mz pentium 4 256ram computer']
norton,"This came PRELOADED on our new, 2.8Mz Pentium 4 256RAM computer.",memory usage,negative,3,came preloaded new 28mz pentium 4 256ram computer,memory usage,memory usage,came_AUX preloaded_VERB new_ADJ 28mz_ADJ pentium_NOUN 4_NUM 256ram_NUM computer_NOUN,['new 28mz pentium 4 256ram computer']
norton,I agree with the other reviewer that it doesn't even deserve 1 star.,support,negative,2,agree reviewer doesnt even deserve 1 star,support,support,agree_VERB reviewer_NOUN does_AUX nt_PART even_ADV deserve_VERB 1_NUM star_NOUN,"['reviewer', '1 star']"
norton,It wasn't the computer - it was Norton Internet Security 2004 which is the culprit!!,support,negative,3,wasnt computer norton internet security 2004 culprit,support,support,was_AUX nt_PART computer_NOUN norton_PROPN internet_NOUN security_NOUN 2004_NUM culprit_NOUN,['computer norton internet security 2004 culprit']
norton,"So, we're fed up.",HOME VERSION,negative,3,fed,home version,home version,fed_VERB,[]
norton,"So, we're fed up.",Corporate Edition,positive,2,fed,corporate edition,corporate edition,fed_VERB,[]
norton,"So, we're fed up.",Corporate edition,positive,3,fed,corporate edition,corporate edition,fed_VERB,[]
norton,"Unfortunately, you can't buy the corporate edition over the counter.",Corporate edition,positive,2,unfortunately cant buy corporate edition counter,corporate edition,corporate edition,unfortunately_ADV ca_AUX nt_PART buy_VERB corporate_ADJ edition_NOUN counter_NOUN,['corporate edition counter']
norton,"Unfortunately, you can't buy the corporate edition over the counter.",home version,negative,3,unfortunately cant buy corporate edition counter,home version,home version,unfortunately_ADV ca_AUX nt_PART buy_VERB corporate_ADJ edition_NOUN counter_NOUN,['corporate edition counter']
norton,HMMMM.. Good luck.,AV 2004,negative,3,hmmmm good luck,av 2004,av 2004,hmmmm_VERB good_ADJ luck_NOUN,['hmmmm good luck']
norton,WRONG - SEE MY UPDATE ABOVE.,corporate,positive,3,wrong see update,corporate,corporate,wrong_ADJ see_NOUN update_NOUN,['wrong see update']
norton,WRONG - SEE MY UPDATE ABOVE.,professional version,positive,2,wrong see update,professional version,professional version,wrong_ADJ see_NOUN update_NOUN,['wrong see update']
norton,WRONG - SEE MY UPDATE ABOVE.,home version,negative,2,wrong see update,home version,home version,wrong_ADJ see_NOUN update_NOUN,['wrong see update']
norton,So I expected the same level of quality and ease of use with their Internet Security program.,work,negative,3,expected level quality ease use internet security program,work,work,expected_VERB level_NOUN quality_NOUN ease_NOUN use_VERB internet_NOUN security_NOUN program_NOUN,"['expected level quality ease', 'internet security program']"
norton,"When all was said and done, I couldn't even use Microsoft Outlook.",program scan,negative,1,said done couldnt even use microsoft outlook,program scan,program scan,said_VERB done_VERB could_AUX nt_PART even_ADV use_VERB microsoft_PROPN outlook_NOUN,['microsoft outlook']
norton,"Before I managed to manually add the program file, I contacted Symantec support.",support,negative,2,managed manually add program file contacted symantec support,support,support,managed_VERB manually_ADV add_VERB program_NOUN file_NOUN contacted_VERB symantec_ADJ support_NOUN,"['program file', 'symantec support']"
norton,"Before I managed to manually add the program file, I contacted Symantec support.",Symantec,negative,2,managed manually add program file contacted symantec support,symantec,symantec,managed_VERB manually_ADV add_VERB program_NOUN file_NOUN contacted_VERB symantec_ADJ support_NOUN,"['program file', 'symantec support']"
norton,"Before I managed to manually add the program file, I contacted Symantec support.",update,negative,3,managed manually add program file contacted symantec support,update,update,managed_VERB manually_ADV add_VERB program_NOUN file_NOUN contacted_VERB symantec_ADJ support_NOUN,"['program file', 'symantec support']"
norton,"Before I managed to manually add the program file, I contacted Symantec support.",support,negative,3,managed manually add program file contacted symantec support,support,support,managed_VERB manually_ADV add_VERB program_NOUN file_NOUN contacted_VERB symantec_ADJ support_NOUN,"['program file', 'symantec support']"
norton,Maybe it's time to explore McAfee products again...,products,negative,1,maybe time explore mcafee products,products,products,maybe_ADV time_NOUN explore_VERB mcafee_NOUN products_NOUN,['mcafee products']
norton,I wish I'd done some research first....,NIS 2004,positive,2,wish id done research first,nis 2004,nis 2004,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,options,negative,1,wish id done research first,options,options,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,intrusion,positive,2,wish id done research first,intrusion,intrusion,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,intrusion,positive,3,wish id done research first,intrusion,intrusion,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,popup blocker,positive,2,wish id done research first,popup blocker,popup blocker,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,anti-spam,positive,2,wish id done research first,antispam,antispam,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,Product,positive,1,wish id done research first,product,product,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,I wish I'd done some research first....,instruction,negative,1,wish id done research first,instruction,instruction,wish_VERB i_PROPN d_PROPN done_VERB research_NOUN first_ADV,"['i', 'd', 'research']"
norton,Not much recourse for the consumer in these cases.,nstalling,positive,1,much recourse consumer cases,nstalling,nstalling,much_ADJ recourse_NOUN consumer_NOUN cases_NOUN,['much recourse consumer cases']
norton,Not much recourse for the consumer in these cases.,components,negative,1,much recourse consumer cases,components,components,much_ADJ recourse_NOUN consumer_NOUN cases_NOUN,['much recourse consumer cases']
norton,"I had NIS 2003 and was very happy with it; this new version really doesn't seem to offer a lot of exciting new features, seems merely the same as 2003 dressed-up to look like a new version.",working,positive,2,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,working,working,nis_PROPN 2003_NUM happy_ADJ new_ADJ version_NOUN really_ADV does_AUX nt_PART seem_VERB offer_VERB lot_NOUN exciting_ADJ new_ADJ features_NOUN seems_VERB merely_ADV 2003_NUM dressedup_ADJ look_VERB like_ADP new_ADJ version_NOUN,"['nis', '2003 happy new version', 'lot exciting new features', 'new version']"
norton,"I had NIS 2003 and was very happy with it; this new version really doesn't seem to offer a lot of exciting new features, seems merely the same as 2003 dressed-up to look like a new version.",installation,negative,1,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,installation,installation,nis_PROPN 2003_NUM happy_ADJ new_ADJ version_NOUN really_ADV does_AUX nt_PART seem_VERB offer_VERB lot_NOUN exciting_ADJ new_ADJ features_NOUN seems_VERB merely_ADV 2003_NUM dressedup_ADJ look_VERB like_ADP new_ADJ version_NOUN,"['nis', '2003 happy new version', 'lot exciting new features', 'new version']"
norton,"I had NIS 2003 and was very happy with it; this new version really doesn't seem to offer a lot of exciting new features, seems merely the same as 2003 dressed-up to look like a new version.",installation,negative,1,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,installation,installation,nis_PROPN 2003_NUM happy_ADJ new_ADJ version_NOUN really_ADV does_AUX nt_PART seem_VERB offer_VERB lot_NOUN exciting_ADJ new_ADJ features_NOUN seems_VERB merely_ADV 2003_NUM dressedup_ADJ look_VERB like_ADP new_ADJ version_NOUN,"['nis', '2003 happy new version', 'lot exciting new features', 'new version']"
norton,"I had NIS 2003 and was very happy with it; this new version really doesn't seem to offer a lot of exciting new features, seems merely the same as 2003 dressed-up to look like a new version.",installation,negative,1,nis 2003 happy new version really doesnt seem offer lot exciting new features seems merely 2003 dressedup look like new version,installation,installation,nis_PROPN 2003_NUM happy_ADJ new_ADJ version_NOUN really_ADV does_AUX nt_PART seem_VERB offer_VERB lot_NOUN exciting_ADJ new_ADJ features_NOUN seems_VERB merely_ADV 2003_NUM dressedup_ADJ look_VERB like_ADP new_ADJ version_NOUN,"['nis', '2003 happy new version', 'lot exciting new features', 'new version']"
norton,Avoid like the plague.,spam,negative,2,avoid like plague,spam,spam,avoid_VERB like_ADP plague_NOUN,['plague']
norton,"Well, I must be one of the few fortunate ones on here.",install,positive,2,well must one fortunate ones,install,install,well_INTJ must_AUX one_NUM fortunate_ADJ ones_NOUN,['one fortunate ones']
norton,"Well, I must be one of the few fortunate ones on here.",work,positive,3,well must one fortunate ones,work,work,well_INTJ must_AUX one_NUM fortunate_ADJ ones_NOUN,['one fortunate ones']
norton,I had Norton Internet Security 2003 and it worked great...one of the features that I liked was the user interface as well as the ad/pop-up blocking feature along w/the logs on internet usage.,NIS 04,negative,3,norton internet security 2003 worked greatone features liked user interface well adpopup blocking feature along wthe logs internet usage,nis 04,nis 04,norton_PROPN internet_NOUN security_NOUN 2003_NUM worked_VERB greatone_NOUN features_NOUN liked_VERB user_NOUN interface_NOUN well_INTJ adpopup_NOUN blocking_VERB feature_NOUN along_ADP wthe_DET logs_NOUN internet_NOUN usage_NOUN,"['norton internet security', 'greatone features', 'user interface', 'feature', 'wthe logs internet usage']"
norton,All of a sudden everything that reviewers were writing about NIS 2004 was happening to my computer.,booting,negative,3,sudden everything reviewers writing nis 2004 happening computer,booting,booting,sudden_ADJ everything_PRON reviewers_NOUN writing_VERB nis_NOUN 2004_NUM happening_VERB computer_NOUN,"['sudden everything reviewers', 'nis', 'happening computer']"
norton,All of a sudden everything that reviewers were writing about NIS 2004 was happening to my computer.,blocking,negative,3,sudden everything reviewers writing nis 2004 happening computer,blocking,blocking,sudden_ADJ everything_PRON reviewers_NOUN writing_VERB nis_NOUN 2004_NUM happening_VERB computer_NOUN,"['sudden everything reviewers', 'nis', 'happening computer']"
norton,All of a sudden everything that reviewers were writing about NIS 2004 was happening to my computer.,blocking,negative,3,sudden everything reviewers writing nis 2004 happening computer,blocking,blocking,sudden_ADJ everything_PRON reviewers_NOUN writing_VERB nis_NOUN 2004_NUM happening_VERB computer_NOUN,"['sudden everything reviewers', 'nis', 'happening computer']"
norton,After extensive researching on the Symantec site I broke down and called Symantec.,Tech Line,negative,2,extensive researching symantec site broke called symantec,tech line,tech line,extensive_ADJ researching_VERB symantec_ADJ site_NOUN broke_VERB called_VERB symantec_ADJ,['extensive researching symantec site']
